# file...... outputFiles/triplex_meter:monthly_bill.csv
# date...... Thu Aug 13 12:55:16 2015
# user...... mlunacek
# host...... (null)
# group..... class=triplex_meter
# property.. monthly_bill
# limit..... 0
# interval.. 60
# timestamp,triplex_meter_0,triplex_meter_1,triplex_meter_2,triplex_meter_3,triplex_meter_4,triplex_meter_5,triplex_meter_6,triplex_meter_7,triplex_meter_8,triplex_meter_9,triplex_meter_10,triplex_meter_11,triplex_meter_12,triplex_meter_13,triplex_meter_14,triplex_meter_15,triplex_meter_16,triplex_meter_17,triplex_meter_18,triplex_meter_19
2013-07-01 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2013-07-01 00:01:00 UTC,+10,+10,+10,+10,+10,+10,+10,+10,+10,+10,+10,+10,+10,+10,+10,+10,+10,+10,+10,+10
2013-07-01 00:02:00 UTC,+10.0006,+10.0006,+10.0006,+10.0006,+10.0006,+10.0006,+10.0006,+10.0006,+10.0007,+10.0007,+10.0004,+10.0004,+10.0004,+10.0006,+10.0006,+10.0006,+10.0006,+10.0006,+10.0003,+10.0004
2013-07-01 00:03:00 UTC,+10.0012,+10.0012,+10.0012,+10.0013,+10.0012,+10.0012,+10.0013,+10.0013,+10.0013,+10.0013,+10.0009,+10.0009,+10.0009,+10.0012,+10.0012,+10.0012,+10.0012,+10.0012,+10.0006,+10.0009
2013-07-01 00:04:00 UTC,+10.0018,+10.0018,+10.0018,+10.0019,+10.0018,+10.0018,+10.0019,+10.0019,+10.002,+10.002,+10.0013,+10.0013,+10.0013,+10.0018,+10.0018,+10.0018,+10.0018,+10.0018,+10.0009,+10.0013
2013-07-01 00:05:00 UTC,+10.0024,+10.0024,+10.0024,+10.0025,+10.0024,+10.0024,+10.0025,+10.0025,+10.0027,+10.0027,+10.0018,+10.0018,+10.0018,+10.0023,+10.0025,+10.0025,+10.0025,+10.0025,+10.0013,+10.0018
2013-07-01 00:06:00 UTC,+10.003,+10.003,+10.003,+10.0032,+10.003,+10.003,+10.0032,+10.0032,+10.0034,+10.0034,+10.0022,+10.0022,+10.0022,+10.0027,+10.0031,+10.0031,+10.0031,+10.0031,+10.0016,+10.0022
2013-07-01 00:07:00 UTC,+10.0035,+10.0035,+10.0035,+10.0038,+10.0035,+10.0035,+10.0038,+10.0038,+10.004,+10.004,+10.0027,+10.0027,+10.0027,+10.0032,+10.0037,+10.0037,+10.0037,+10.0037,+10.0019,+10.0027
2013-07-01 00:08:00 UTC,+10.0041,+10.0041,+10.0041,+10.0044,+10.0041,+10.0041,+10.0044,+10.0044,+10.0047,+10.0047,+10.0031,+10.0031,+10.0031,+10.0036,+10.0043,+10.0043,+10.0043,+10.0043,+10.0022,+10.0031
2013-07-01 00:09:00 UTC,+10.0047,+10.0047,+10.0047,+10.005,+10.0047,+10.0047,+10.0051,+10.0051,+10.0054,+10.0054,+10.0036,+10.0036,+10.0036,+10.0041,+10.0049,+10.0049,+10.0049,+10.0049,+10.0025,+10.0035
2013-07-01 00:10:00 UTC,+10.0053,+10.0053,+10.0053,+10.0055,+10.0053,+10.0053,+10.0057,+10.0057,+10.0061,+10.0061,+10.004,+10.004,+10.004,+10.0045,+10.0055,+10.0055,+10.0055,+10.0055,+10.0028,+10.004
2013-07-01 00:11:00 UTC,+10.0059,+10.0059,+10.0059,+10.0061,+10.0059,+10.0059,+10.0063,+10.0063,+10.0067,+10.0067,+10.0044,+10.0044,+10.0044,+10.005,+10.0061,+10.0061,+10.0061,+10.0061,+10.0031,+10.0044
2013-07-01 00:12:00 UTC,+10.0065,+10.0065,+10.0065,+10.0067,+10.0066,+10.0065,+10.007,+10.007,+10.0074,+10.0074,+10.0049,+10.0049,+10.0049,+10.0054,+10.0068,+10.0068,+10.0068,+10.0068,+10.0034,+10.0049
2013-07-01 00:13:00 UTC,+10.0071,+10.0071,+10.0071,+10.0073,+10.0072,+10.0071,+10.0076,+10.0076,+10.0081,+10.0081,+10.0053,+10.0053,+10.0053,+10.0058,+10.0074,+10.0074,+10.0074,+10.0074,+10.0038,+10.0053
2013-07-01 00:14:00 UTC,+10.0077,+10.0077,+10.0077,+10.0079,+10.0078,+10.0077,+10.0082,+10.0082,+10.0087,+10.0087,+10.0058,+10.0058,+10.0058,+10.0063,+10.008,+10.008,+10.008,+10.008,+10.0041,+10.0056
2013-07-01 00:15:00 UTC,+10.0083,+10.0083,+10.0083,+10.0084,+10.0085,+10.0083,+10.0089,+10.0089,+10.0094,+10.0094,+10.0062,+10.0062,+10.0062,+10.0067,+10.0086,+10.0086,+10.0086,+10.0086,+10.0044,+10.0059
2013-07-01 00:16:00 UTC,+10.0089,+10.0089,+10.0089,+10.009,+10.0091,+10.0089,+10.0095,+10.0095,+10.0101,+10.0101,+10.0067,+10.0067,+10.0067,+10.0072,+10.0092,+10.0092,+10.0092,+10.0092,+10.0047,+10.0063
2013-07-01 00:17:00 UTC,+10.0094,+10.0094,+10.0094,+10.0096,+10.0097,+10.0094,+10.0101,+10.0101,+10.0108,+10.0108,+10.0071,+10.0071,+10.0071,+10.0076,+10.0097,+10.0098,+10.0098,+10.0098,+10.005,+10.0066
2013-07-01 00:18:00 UTC,+10.01,+10.01,+10.01,+10.0102,+10.0104,+10.01,+10.0108,+10.0108,+10.0114,+10.0114,+10.0075,+10.0075,+10.0075,+10.0081,+10.0101,+10.0104,+10.0104,+10.0104,+10.0053,+10.0069
2013-07-01 00:19:00 UTC,+10.0106,+10.0106,+10.0106,+10.0107,+10.011,+10.0106,+10.0114,+10.0114,+10.0121,+10.0121,+10.008,+10.008,+10.008,+10.0085,+10.0105,+10.0111,+10.011,+10.011,+10.0056,+10.0072
2013-07-01 00:20:00 UTC,+10.0112,+10.0112,+10.0112,+10.0113,+10.0116,+10.0112,+10.012,+10.012,+10.0127,+10.0128,+10.0084,+10.0084,+10.0084,+10.0089,+10.011,+10.0117,+10.0117,+10.0117,+10.006,+10.0075
