# file...... outputFiles/triplex_meter:monthly_energy.csv
# date...... Thu Aug 13 12:55:16 2015
# user...... mlunacek
# host...... (null)
# group..... class=triplex_meter
# property.. monthly_energy
# limit..... 0
# interval.. 60
# timestamp,triplex_meter_0,triplex_meter_1,triplex_meter_2,triplex_meter_3,triplex_meter_4,triplex_meter_5,triplex_meter_6,triplex_meter_7,triplex_meter_8,triplex_meter_9,triplex_meter_10,triplex_meter_11,triplex_meter_12,triplex_meter_13,triplex_meter_14,triplex_meter_15,triplex_meter_16,triplex_meter_17,triplex_meter_18,triplex_meter_19
2013-07-01 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2013-07-01 00:01:00 UTC,+0.00851521,+0.00851521,+0.00851521,+0.00913207,+0.00851521,+0.00851521,+0.00913207,+0.00913207,+0.00969395,+0.00969395,+0.00640244,+0.00640244,+0.00640244,+0.00885824,+0.00885824,+0.00885824,+0.00884741,+0.00884741,+0.00451872,+0.00639461
2013-07-01 00:02:00 UTC,+0.00851521,+0.00851521,+0.00851521,+0.00913207,+0.00851521,+0.00851521,+0.00913207,+0.00913207,+0.00969395,+0.00969395,+0.00640244,+0.00640244,+0.00640244,+0.00885824,+0.00885824,+0.00885824,+0.00884741,+0.00884741,+0.00451872,+0.00639461
2013-07-01 00:03:00 UTC,+0.0170304,+0.0170304,+0.0170304,+0.0182641,+0.0170304,+0.0170304,+0.0182641,+0.0182641,+0.0193879,+0.0193879,+0.0128049,+0.0128049,+0.0128049,+0.0177165,+0.0177165,+0.0177165,+0.0176948,+0.0176948,+0.00903743,+0.0127892
2013-07-01 00:04:00 UTC,+0.0255456,+0.0255456,+0.0255456,+0.0273962,+0.0255456,+0.0255456,+0.0273962,+0.0273962,+0.0290819,+0.0290819,+0.0192073,+0.0192073,+0.0192073,+0.0265747,+0.0265747,+0.0265747,+0.0265422,+0.0265422,+0.0135561,+0.0191838
2013-07-01 00:05:00 UTC,+0.0340608,+0.0340608,+0.0340608,+0.0365282,+0.0340608,+0.0340608,+0.0365282,+0.0365282,+0.0387759,+0.0387759,+0.0256098,+0.0256098,+0.0256098,+0.0329772,+0.0354331,+0.0354331,+0.0353897,+0.0353897,+0.0180749,+0.0255785
2013-07-01 00:06:00 UTC,+0.042576,+0.042576,+0.042576,+0.0456603,+0.042576,+0.042576,+0.0456603,+0.0456603,+0.04847,+0.04847,+0.0320124,+0.0320124,+0.0320124,+0.0393798,+0.0442914,+0.0442914,+0.0442372,+0.0442372,+0.0225936,+0.0319732
2013-07-01 00:07:00 UTC,+0.0510911,+0.0510911,+0.0510911,+0.0547923,+0.0510911,+0.0510911,+0.0547923,+0.0547923,+0.0581641,+0.0581641,+0.0384149,+0.0384149,+0.0384149,+0.0457823,+0.0531498,+0.0531498,+0.0530847,+0.0530847,+0.0271124,+0.0383678
2013-07-01 00:08:00 UTC,+0.0596064,+0.0596064,+0.0596064,+0.0631371,+0.0596064,+0.0596064,+0.0639244,+0.0639244,+0.0678582,+0.0678582,+0.0448174,+0.0448174,+0.0448174,+0.0521848,+0.0620081,+0.0620081,+0.0619322,+0.0619322,+0.0316312,+0.0447625
2013-07-01 00:09:00 UTC,+0.0681216,+0.0681216,+0.0681216,+0.071482,+0.0681216,+0.0681216,+0.0730565,+0.0730565,+0.0775523,+0.0775523,+0.0512199,+0.0512199,+0.0512199,+0.0585873,+0.0708665,+0.0708665,+0.0707796,+0.0707796,+0.0361499,+0.0511572
